version,threshold,mode,dice,hd95
finetuned_epoch10,0.2,both,0.0,160.86159949739883
finetuned_epoch10,0.2,box,0.0,161.83871941088262
finetuned_epoch10,0.2,point,0.0018807893235817826,146.1797927391343
finetuned_epoch10,0.3,both,0.0,161.4417789261027
finetuned_epoch10,0.3,box,0.0,162.28098535970918
finetuned_epoch10,0.3,point,0.0011833319136324001,136.0980185601001
finetuned_epoch10,0.5,both,0.0,162.16701304524446
finetuned_epoch10,0.5,box,0.0,163.00110313252017
finetuned_epoch10,0.5,point,0.0,131.9272539115741
finetuned_epoch5,0.2,both,0.0,159.83303075011983
finetuned_epoch5,0.2,box,0.0,160.5624180779958
finetuned_epoch5,0.2,point,0.00179600111883749,160.59568860639712
finetuned_epoch5,0.3,both,0.0,160.05391302186973
finetuned_epoch5,0.3,box,0.0,160.98495596708247
finetuned_epoch5,0.3,point,0.0017457696838880875,145.96145484968483
finetuned_epoch5,0.5,both,0.0,160.64391676959357
finetuned_epoch5,0.5,box,0.0,161.68051841480286
finetuned_epoch5,0.5,point,0.0,127.94211655914117
finetuned_epoch7,0.2,both,0.0,160.31202543709782
finetuned_epoch7,0.2,box,0.0,161.03855954143347
finetuned_epoch7,0.2,point,0.0018500938757458076,151.3937427514379
finetuned_epoch7,0.3,both,0.0,160.6085293183175
finetuned_epoch7,0.3,box,0.0,161.5772674648178
finetuned_epoch7,0.3,point,0.0013547635561704,141.0191813073721
finetuned_epoch7,0.5,both,0.0,161.30964044098673
finetuned_epoch7,0.5,box,0.0,162.07920284424398
finetuned_epoch7,0.5,point,0.0,129.6166130419995
original,0.2,both,0.0,147.89533296027645
original,0.2,box,0.0,155.36132196971684
original,0.2,point,0.07574933367540657,134.46986799794482
original,0.3,both,0.0,149.10080136196495
original,0.3,box,0.0,155.96365081810166
original,0.3,point,0.07630546179262002,129.55116299519997
original,0.5,both,0.0,151.40711383587433
original,0.5,box,0.0,156.94512271439038
original,0.5,point,0.06748253435184048,115.88856028860728
